Happy_101,Sad_101
adorable,abysmal
 accepted,adverse
 believe,alarming
 beneficial,angry
 bliss,annoy
 bountiful,anxious
 acclaimed,apathy
 accomplish,appalling
 simple,atrocious
 skilled,awful
 skillful,bad
 smile,banal
 achievement,barbed
 action,belligerent
 active,bemoan
 agree,beneath
 agreeable,boring
 amazing,broken
 angelic,callous
 beaming,can't
 beautiful,clumsy
 bounty,coarse
 brave,cold
 bravo,cold-hearted
 brilliant,collapse
 bubblyecstatic,confused
 calm,contradictory
 celebrated,contrary
 certain,corrosive
 champ,corrupt
 energetic,crazy
 energized,creepy
 engaging,criminal
 enthusiastic,cruel
 essentialchampion,cry
 classical,cutting
 clean,dead
 commend,decaying
 composed,damage
 congratulation,damaging
 onstant,dastardly
 cool,deplorable
 ourageous,depressed
 creative,deprived
 cuteeffective,deformed
 dazzling,deny
 delight,despicable
 delightful,detrimental
 distinguished,dirty
 divineeffervescent,disease
 efficient,disgusting
 effortless,disheveled
 electrifying,dishonest
 soulful,dishonorable
 sparkling,dismal
 special,distress
 spiritedelegant,don't
 admire,dreadful
 adventure,dreary
 affirmative,enraged
 affluentenchanting,eroding
 encouraging,evil
 endorsed,fail
 esteemed,faulty
 ethical,fear
 excellent,feeble
 exciting,fight
 exquisite,filthy
 fabulous,foul
 fair,frighten
 familiar,frightful
 famous,gawky
 fantastic,ghastly
 favorable,grave
 fetching,greed
 fine,grim
 fitting,grimace
 flourishing,gross
 fortunate,grotesque
 free,gruesome
 fresh,guilty
 friendly,haggard
 fun,hard
 funnyparadise,hard-hearted
 generous,harmful
 genius,hate
 genuine,hideous
 giving,homely
 glamorous,horrendous
 glowing,horrible
 good,hostile
 gorgeous,hurt
 graceful,hurtful
 great,icky
 green,ignore
 grin,ignorant
 growingperfect,ill
 healthy,immature
 charming,imperfect
 cheery,impossible
amused,inane
beaming,inelegant
blissful,infernal
blithe,injure
buoyant,injurious
carefree,insane
cheerful,insidious
cheery,insipid
chipper,jealous
chirpy,junky
content,lose
contented,lousy
delighted,lumpy
ebullient,malicious
ecstatic,mean
elated,menacing
enraptured,messy
euphoric,misshapen
exhilarated,missing
exultant,misunderstood
funny,moan
glad,moldy
gleeful,monstrous
gratified,naive
grinning,nasty
happy,naughty
in a good mood,negate
in good spirits,negative
in seventh heaven,never
invigorated,no
jocular,nobody
jolly,nondescript
jovial,nonsense
joyful,not
joyous,noxious
jubilant,objectionable
lighthearted,odious
merry,offensive
mirthful,old
never been better,oppressive
on cloud nine,pain
on top of the world,perturb
optomistic,pessimistic
overjoyed,petty
over-the-moon,plain
pleased,poisonous
radiant,poor
rapturous,prejudice
satisfied,questionable
smiling,quirky
sunny,quit
thrilled,reject
tickled pink,renege
untroubled,repellant
upbeat,reptilian
walking on air,repulsive
adore,repugnant
affable,revenge
aggreeable,revolting
amiable,rocky
amusing,rotten
animated,rude
appealing,ruthless
as happy as a clam,sad
beatific,savage
beautiful,scare
bliss,scary
bowl over,scream
charming,severe
cheeriness,shoddy
delight,shocking
delightful,sick
diverting,sickening
droll,sinister
ebullient ,slimy
ecstasy,smelly
elation,sobbing
enchanting,sorry
endearing,spiteful
energized,sticky
engaging,stinky
enjoyable,stormy
entertaining,stressful
euphoria,stuck
excited,stupid
exhilirated,substandard
exuberance,suspect
exultation,suspicious
favorable,tense
fine,terrible
friendly,terrifying
fulfilled,threatening
fun,ugly
genial,undermine
get a kick out of,unfair
gladden,unfavorable
glee,unhappy
glory,unhealthy
glory in,unjust
glorious,unlucky
good,unpleasant
good humored,upset
good mood,unsatisfactory
good natured,unsightly
grateful,untoward
gratify,unwanted
gratifying,unwelcome
great,unwholesome
happiness,unwieldy
happy as a clam,unwise
heartening,vice
heartwarming,vicious
heavenly,vile
high,villainous
high spirits,vindictive
hilarious,wary
hopeful,weary
jollity,wicked
joie de vivre,woeful
joy,worthless
joyfulness,wound
jubilation,yell
jumping for joy,yucky
lap up,zero
likable,
looking on the bright side,
lovable,
lovely,
lucky,
luxuriate in,
merriment,
mirth,
nice,
obliging,
open,
opportune,
over the moon,
paradise,
perkiness,
perky,
pleasant,
please greatly,
pleasure,
precious,
rapture,
relaxed,
relish,
revel in,
savor,
seventh heaven,
simpatico,
source of pleasure,
sparkle,
stimulated,
sunniness,
sweet,
take pleasure in,
tears of joy,
thrill,
touching,
treat,
triumph,
uplifting,
vitalized,
vivacity,
welcoming,
willing,
wondrous,
zest for life,
